"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8642","New User Registration @master @sanity @regression","chromium","2026-07-24","passed","2026-07-24","","AccountRegistration.spec.ts","",""
"","12161","End to End test flow @master @end2end @regression","chromium","2026-07-24","passed","2026-07-24","","End2EndTest.spec.ts","",""
"","4862","Valid Login Test: invalid login @datadriven using JSON file","chromium","2026-07-24","passed","2026-07-24","","LoginDataDriven.spec.ts","",""
"","4588","Valid Login Test: invalid login @datadriven @master using CSV file","chromium","2026-07-24","passed","2026-07-24","","LoginDataDriven.spec.ts","",""
"","2016","Product search test @master @regression","chromium","2026-07-24","passed","2026-07-24","","SearchProduct.spec.ts","",""
"","5174","Valid Login Test: valid login @datadriven using JSON file","chromium","2026-07-24","passed","2026-07-24","","LoginDataDriven.spec.ts","",""
"","5446","User Login Test @master @sanity @regression","chromium","2026-07-24","passed","2026-07-24","","Login.spec.ts","",""
"","4035","User logout test @master @regression","chromium","2026-07-24","passed","2026-07-24","","Logout.spec.ts","",""
"","9171","Add product to cart test @master @regression","chromium","2026-07-24","passed","2026-07-24","","AddToCart.spec.ts","",""
"","4755","Valid Login Test: valid login @datadriven @master using CSV file","chromium","2026-07-24","passed","2026-07-24","","LoginDataDriven.spec.ts","",""
